func_name,num_cond_integer32,num_cond_float,num_cond_double,num_cond_u8_sequence,num_strcmp_calls,num_strncmp_calls,num_memcmp_calls
ckd_smul,0,0,0,0,0,0,0
valid_utf,29,0,0,0,0,0,0
main,81,0,0,7,29,0,1
display_modifiers,0,0,0,0,0,0,0
display_properties,15,0,0,0,0,0,0
c_option,7,0,0,1,1,0,0
usage,0,0,0,0,0,0,0
print_version,2,0,0,0,0,0,0
pchars8,5,0,0,0,0,0,0
my_malloc,2,0,0,1,0,0,0
my_free,4,0,0,2,0,0,0
decode_modifiers,70,0,0,6,0,0,0
extend_inputline,5,0,0,5,0,0,0
process_data,219,0,0,14,0,0,1
process_command,33,0,0,3,0,1,0
process_pattern,128,0,0,8,1,0,1
display_selected_modifiers,5,0,0,0,1,0,0
display_one_modifier,3,0,0,0,1,0,0
format_list_item,6,0,0,0,0,0,0
print_newline_config,1,0,0,0,0,0,0
print_unicode_version,1,0,0,0,0,0,0
print_jit_target,1,0,0,0,0,0,0
utf82ord,10,0,0,1,0,0,0
pchar,7,0,0,1,0,0,0
scan_modifiers,5,0,0,0,0,1,0
check_modifier,9,0,0,1,0,0,0
strncmpic,2,0,0,0,0,0,0
expand_input_buffers,0,0,0,2,0,0,0
ord2utf8,4,0,0,0,0,0,0
show_controls,0,0,0,0,0,0,0
prmsg,0,0,0,0,0,0,0
show_match_options,0,0,0,0,0,0,0
jit_callback,0,0,0,0,0,0,0
substitute_callout_function,2,0,0,0,0,0,0
print_error_message,1,0,0,0,0,0,0
show_ovector,1,0,0,0,0,0,0
show_heapframes_size,0,0,0,0,0,0,0
check_match_limit,16,0,0,0,0,0,0
callout_function,20,0,0,7,0,0,0
copy_and_get,28,0,0,1,0,0,0
show_memory_info,2,0,0,0,0,0,0
show_framesize,0,0,0,0,0,0,0
show_pattern_info,52,0,0,4,0,0,0
open_file,1,0,0,2,0,0,0
serial_error,0,0,0,0,0,0,0
pattern_info,4,0,0,0,0,0,0
pcre2_printint_8,56,0,0,0,0,0,0
show_compile_options,1,0,0,0,0,0,0
show_compile_extra_options,1,0,0,0,0,0,0
callout_callback,2,0,0,1,0,0,0
print_char_8,8,0,0,0,0,0,0
print_custring_8,3,0,0,0,0,0,0
print_prop_8,2,0,0,0,0,0,0
print_custring_bylen_8,3,0,0,0,0,0,0
get_ucpname_8,8,0,0,0,0,0,0
stack_guard,0,0,0,0,0,0,0
